Date,Open,High,Low,Close,Currency
2011-03-02,1.6632,1.665,1.657,1.657,BRL
2011-03-03,1.657,1.6581,1.6488,1.6484,BRL
2011-03-04,1.6484,1.6558,1.6422,1.655,BRL
2011-03-07,1.655,1.6554,1.6526,1.6521,BRL
2011-03-08,1.6532,1.6546,1.6533,1.6535,BRL
2011-03-09,1.6443,1.6582,1.6444,1.6533,BRL
2011-03-10,1.6533,1.6656,1.6538,1.6618,BRL
2011-03-11,1.6618,1.6701,1.6596,1.665,BRL
2011-03-14,1.6648,1.6691,1.6591,1.6588,BRL
2011-03-15,1.6588,1.6786,1.6591,1.665,BRL
2011-03-16,1.6648,1.6783,1.66,1.6752,BRL
2011-03-17,1.6755,1.6931,1.666,1.6772,BRL
2011-03-18,1.6781,1.6793,1.6647,1.6645,BRL
2011-03-21,1.6672,1.6691,1.6576,1.6664,BRL
2011-03-22,1.6664,1.6688,1.6583,1.659,BRL
2011-03-23,1.659,1.6648,1.6571,1.6606,BRL
2011-03-24,1.6606,1.6622,1.6546,1.6588,BRL
2011-03-25,1.6593,1.6623,1.6545,1.6605,BRL
2011-03-28,1.6577,1.6651,1.6581,1.6624,BRL
2011-03-29,1.6624,1.665,1.6459,1.6455,BRL
2011-03-30,1.6464,1.6498,1.6262,1.6284,BRL
2011-03-31,1.6282,1.6345,1.6208,1.6315,BRL
2011-04-01,1.6308,1.6309,1.6055,1.6271,BRL
2011-04-04,1.6198,1.6208,1.6036,1.6067,BRL
2011-04-05,1.6067,1.6139,1.6059,1.6081,BRL
2011-04-06,1.6077,1.6174,1.6006,1.6144,BRL
2011-04-07,1.6144,1.6145,1.5812,1.5855,BRL
2011-04-08,1.5837,1.5861,1.5667,1.5684,BRL
2011-04-11,1.5684,1.5846,1.5686,1.5824,BRL
2011-04-12,1.5791,1.5965,1.5751,1.5955,BRL
2011-04-13,1.5942,1.5968,1.5797,1.5857,BRL
2011-04-14,1.5857,1.5915,1.5766,1.5773,BRL
2011-04-15,1.5778,1.5827,1.5711,1.5753,BRL
2011-04-18,1.5761,1.6003,1.5762,1.5881,BRL
2011-04-19,1.5881,1.5882,1.5731,1.5754,BRL
2011-04-20,1.5622,1.584,1.5612,1.5659,BRL
2011-04-21,1.5663,1.5677,1.5636,1.5635,BRL
2011-04-22,1.5635,1.5635,1.5635,1.5635,BRL
2011-04-25,1.561,1.5778,1.5605,1.5675,BRL
2011-04-26,1.5675,1.5689,1.5612,1.5614,BRL
2011-04-27,1.5614,1.5735,1.5563,1.5664,BRL
2011-04-28,1.5645,1.5953,1.5638,1.581,BRL
2011-04-29,1.574,1.5823,1.566,1.5765,BRL
2011-05-02,1.5765,1.5914,1.5688,1.5882,BRL
2011-05-03,1.5882,1.5973,1.5815,1.5878,BRL
2011-05-04,1.5878,1.6177,1.5805,1.615,BRL
2011-05-05,1.615,1.6289,1.6102,1.6209,BRL
2011-05-06,1.6209,1.6238,1.6013,1.6149,BRL
2011-05-09,1.615,1.6299,1.6079,1.6129,BRL
2011-05-10,1.6129,1.616,1.6016,1.6027,BRL
2011-05-11,1.6027,1.6258,1.6026,1.6204,BRL
2011-05-12,1.6204,1.6303,1.6142,1.6191,BRL
2011-05-13,1.619,1.6459,1.6118,1.6356,BRL
2011-05-16,1.6354,1.6394,1.6242,1.6341,BRL
2011-05-17,1.6341,1.6393,1.6134,1.6154,BRL
2011-05-18,1.6154,1.6214,1.6074,1.6088,BRL
2011-05-19,1.6088,1.6208,1.6053,1.616,BRL
2011-05-20,1.616,1.6259,1.61,1.622,BRL
2011-05-23,1.621,1.6404,1.6215,1.633,BRL
2011-05-24,1.6335,1.6345,1.6206,1.6239,BRL
2011-05-25,1.6239,1.632,1.6233,1.6284,BRL
2011-05-26,1.6284,1.6311,1.6109,1.6153,BRL
2011-05-27,1.6153,1.6181,1.5933,1.594,BRL
2011-05-30,1.594,1.5976,1.5855,1.588,BRL
2011-05-31,1.5941,1.5964,1.5757,1.5795,BRL
2011-06-01,1.5783,1.5951,1.5751,1.5928,BRL
2011-06-02,1.5928,1.5941,1.5745,1.5749,BRL
2011-06-03,1.5749,1.5848,1.5703,1.5755,BRL
2011-06-06,1.5745,1.5853,1.5748,1.5836,BRL
2011-06-07,1.5826,1.5849,1.5736,1.5803,BRL
2011-06-08,1.5803,1.5877,1.5775,1.5807,BRL
2011-06-09,1.5797,1.5907,1.5776,1.5824,BRL
2011-06-10,1.5824,1.601,1.5824,1.5958,BRL
2011-06-13,1.5958,1.5986,1.5827,1.5827,BRL
2011-06-14,1.5827,1.5873,1.5792,1.5823,BRL
2011-06-15,1.5813,1.6057,1.5828,1.5997,BRL
2011-06-16,1.5997,1.6163,1.5983,1.6019,BRL
2011-06-17,1.6019,1.6029,1.5939,1.5975,BRL
2011-06-20,1.5962,1.6085,1.5916,1.5957,BRL
2011-06-21,1.5958,1.5992,1.5853,1.586,BRL
2011-06-22,1.586,1.5914,1.5843,1.5909,BRL
2011-06-23,1.5899,1.5919,1.5909,1.5905,BRL
2011-06-24,1.5953,1.6076,1.5903,1.6039,BRL
2011-06-27,1.6029,1.605,1.5938,1.5935,BRL
2011-06-28,1.5935,1.5956,1.5748,1.5757,BRL
2011-06-29,1.5747,1.5794,1.5665,1.5669,BRL
2011-06-30,1.5661,1.5688,1.5573,1.5617,BRL
2011-07-01,1.5616,1.5649,1.5528,1.5568,BRL
2011-07-04,1.5558,1.5599,1.5513,1.5522,BRL
2011-07-05,1.5522,1.5671,1.5522,1.5648,BRL
2011-07-06,1.5648,1.5735,1.5615,1.5687,BRL
2011-07-07,1.569,1.5705,1.5527,1.5545,BRL
2011-07-08,1.5516,1.5679,1.5527,1.5649,BRL
2011-07-11,1.5614,1.5855,1.5623,1.5796,BRL
